Manuscript,Taxa,Total_Field_Seasons,Device_Pairing_Abbreviation,Intermediate_Device_Pairing,Broad_Device_Pairings,Tracking_Group,Monitor_Group,Discipline,Sub_discipline,Single_or_Multiple_Pairing,Total_Devices,Water_Type,Min_C_Depth_m,Min_length_Tag_cm,Max_C_Depth_m,Max_length_Tag_cm,Max_Days_Tracked,Max_Hours_Recorded,Min_Days_Tracked,Min_Hours_Recorded,Depth_groups,Length_Groups,Tracking_Days,Recording_Hours
Crook_2023,Teleostei,3,AC + Stationary,Acoustic_Stationary,Receiver_Stationary,Acoustic,Stationary,Conservation Measures,Pollution,Single,2,Freshwater,Not Reported,19,Not Reported,55.5,578,1.1,0,Not Reported,Not Reported,Small,Long Term,Short term
Crook_2023,Teleostei,3,AC + Stationary,Acoustic_Stationary,Receiver_Stationary,Acoustic,Stationary,Behavioural Ecology,Habitat and space use,Single,2,Freshwater,Not Reported,19,Not Reported,55.5,578,1.1,0,Not Reported,Not Reported,Small,Long Term,Short term
Crook_2023,Teleostei,3,AC + Stationary,Acoustic_Stationary,Receiver_Stationary,Acoustic,Stationary,Behavioural Ecology,Behavioural states and adaptations,Single,2,Freshwater,Not Reported,19,Not Reported,55.5,578,1.1,0,Not Reported,Not Reported,Small,Long Term,Short term
Danylchuk_2011,Teleostei,3,AC + Stationary,Acoustic_Stationary,Receiver_Stationary,Acoustic,Stationary,Reproductive Ecology,"Spawning, breeding, nesting behaviour",Single,2,Brackish,Not Reported,44.7,Not Reported,60.5,549,Not Reported,1,Not Reported,Not Reported,Medium,Long Term,Not Reported
Danylchuk_2011,Teleostei,3,AC + Stationary,Acoustic_Stationary,Receiver_Stationary,Acoustic,Stationary,Methodological,Integrated approach,Single,2,Brackish,Not Reported,44.7,Not Reported,60.5,549,Not Reported,1,Not Reported,Not Reported,Medium,Long Term,Not Reported
Danylchuk_2011,Teleostei,3,AC + Stationary,Acoustic_Stationary,Receiver_Stationary,Acoustic,Stationary,Other Drivers of Movement and Behavior,Seasonal Differences,Single,2,Brackish,Not Reported,44.7,Not Reported,60.5,549,Not Reported,1,Not Reported,Not Reported,Medium,Long Term,Not Reported
Danylchuk_2011,Teleostei,3,AC + Stationary,Acoustic_Stationary,Receiver_Stationary,Acoustic,Stationary,Behavioural Ecology,Habitat and space use,Single,2,Brackish,Not Reported,44.7,Not Reported,60.5,549,Not Reported,1,Not Reported,Not Reported,Medium,Long Term,Not Reported
Davis_2003,Phocidae,2,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Methodological,Attributing behaviours to movement,Single,2,Saltwater,Not Reported,229.4,578.2,248.6,5,12,4,6,>40m,Large,Short Term,Medium Term
Davis_2003,Phocidae,2,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Behavioural Ecology,Behavioural states and adaptations,Single,2,Saltwater,Not Reported,229.4,578.2,248.6,5,12,4,6,>40m,Large,Short Term,Medium Term
Kawabata_2009,Teleostei,2,AC + Stationary,Acoustic_Stationary,Receiver_Stationary,Acoustic,Stationary,Fisheries Management,Hatchery,Single,2,Saltwater,Not Reported,23.1,Not Reported,29.1,Not Reported,49,Not Reported,Not Reported,Not Reported,Small,Not Reported,Medium Term
Dujon_2019,Gastropoda,2,DD + Stationary,DataLogger_Stationary,NoReceiver_Stationary,Data Logger,Stationary,Other Drivers of Movement and Behavior,Diel differences,Single,2,Saltwater,0,17.6,3,21.2,9,Not Reported,4,Not Reported,Surface to 3m,Small,Medium Term,Not Reported
Dujon_2019,Gastropoda,2,DD + Stationary,DataLogger_Stationary,NoReceiver_Stationary,Data Logger,Stationary,Other Drivers of Movement and Behavior,Environmental factors,Single,2,Saltwater,0,17.6,3,21.2,9,Not Reported,4,Not Reported,Surface to 3m,Small,Medium Term,Not Reported
Dujon_2019,Gastropoda,2,DD + Stationary,DataLogger_Stationary,NoReceiver_Stationary,Data Logger,Stationary,Behavioural Ecology,Habitat and space use,Single,2,Saltwater,0,17.6,3,21.2,9,Not Reported,4,Not Reported,Surface to 3m,Small,Medium Term,Not Reported
Eskesen_2009,Cetacea,7,SA + Stationary,Satellite_Stationary,NoReceiver_Stationary,Satellite,Stationary,Methodological,Tagging procedure,Single,2,Saltwater,0,101,0,153,Not Reported,Not Reported,Not Reported,Not Reported,Surface to 3m,Medium,Not Reported,Not Reported
Ferguson_2016,Teleostei,2,AC + Mobile + Stationary,Acoustic_Mobile_Stationary,Receiver_Mobile_Stationary,Acoustic,Mobile + Stationary,Behavioural Ecology,Habitat and space use,Single,2,Saltwater,1,220,3,341,286,2,Not Reported,Not Reported,Surface to 3m,Large,Long Term,Short term
Ferguson_2016,Teleostei,2,AC + Mobile + Stationary,Acoustic_Mobile_Stationary,Receiver_Mobile_Stationary,Acoustic,Mobile + Stationary,Behavioural Ecology,Behavioural states and adaptations,Single,2,Saltwater,1,220,3,341,286,2,Not Reported,Not Reported,Surface to 3m,Large,Long Term,Short term
Ferguson_2016,Teleostei,2,AC + Mobile + Stationary,Acoustic_Mobile_Stationary,Receiver_Mobile_Stationary,Acoustic,Mobile + Stationary,Conservation Measures,Marine protected areas and reserves,Single,2,Saltwater,1,220,3,341,286,2,Not Reported,Not Reported,Surface to 3m,Large,Long Term,Short term
Ferguson_2016,Teleostei,2,AC + Mobile + Stationary,Acoustic_Mobile_Stationary,Receiver_Mobile_Stationary,Acoustic,Mobile + Stationary,Behavioural Ecology,Population structuring,Single,2,Saltwater,1,220,3,341,286,2,Not Reported,Not Reported,Surface to 3m,Large,Long Term,Short term
Fetterplace_2016,Teleostei,1,AC + B,Acoustic_Baited,Receiver_Baited,Acoustic,Baited,Behavioural Ecology,Habitat and space use,Single,2,Saltwater,Not Reported,195,Not Reported,432,4,Not Reported,Not Reported,Not Reported,Not Reported,Large,Short Term,Not Reported
Fetterplace_2016,Teleostei,1,AC + B,Acoustic_Baited,Receiver_Baited,Acoustic,Baited,Behavioural Ecology,Behavioural states and adaptations,Single,2,Saltwater,Not Reported,195,Not Reported,432,4,Not Reported,Not Reported,Not Reported,Not Reported,Large,Short Term,Not Reported
Fetterplace_2016,Teleostei,1,AC + B,Acoustic_Baited,Receiver_Baited,Acoustic,Baited,Conservation Measures,Marine protected areas and reserves,Single,2,Saltwater,Not Reported,195,Not Reported,432,4,Not Reported,Not Reported,Not Reported,Not Reported,Large,Short Term,Not Reported
Fontes_2022,Chondrichthyes,Not Reported,DD + SA + AB,Satellite_Animalborne,NoReceiver_Animalborne,Satellite,Animal-borne,Methodological,Feasibility,Single,2,Saltwater,Not Reported,250,Not Reported,850,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Large,Not Reported,Not Reported
Fontes_2022,Chondrichthyes,Not Reported,SA + AB,Satellite_Animalborne,NoReceiver_Animalborne,Satellite,Animal-borne,Methodological,Tagging procedure,Single,2,Saltwater,Not Reported,250,Not Reported,850,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Large,Not Reported,Not Reported
Francke_2013,Reptilia,1,DD + PIT + Mobile,DataLogger_PIT_Mobile,Both_Mobile,Data Logger_PIT,Mobile,Methodological,Tag and video accuracy and precision,Single,2,Saltwater,0.5,Not Reported,26.8,Not Reported,33,2,Not Reported,Not Reported,3m to 40m,Not Reported,Medium Term,Short term
Francke_2013,Reptilia,1,DD + PIT + Mobile,DataLogger_PIT_Mobile,Both_Mobile,Data Logger_PIT,Mobile,Behavioural Ecology,Behavioural states and adaptations,Single,2,Saltwater,0.5,Not Reported,26.8,Not Reported,33,2,Not Reported,Not Reported,3m to 40m,Not Reported,Medium Term,Short term
Fuchs_2019,Teleostei,1,PIT + R + Stationary,PIT_Radio_Stationary,Receiver_Stationary,PIT_Radio,Stationary,Reproductive Ecology,"Spawning, breeding, nesting behaviour",Multiple,3,Freshwater,0.5,55,1,79,10,38,1,24,Surface to 3m,Medium,Medium Term,Medium Term
Fuchs_2019,Teleostei,1,PIT + R + Stationary,PIT_Radio_Stationary,Receiver_Stationary,PIT_Radio,Stationary,Methodological,Attributing behaviours to movement,Multiple,3,Freshwater,0.5,55,1,79,10,38,1,24,Surface to 3m,Medium,Medium Term,Medium Term
Kawabata_2009,Teleostei,2,AC + Stationary,Acoustic_Stationary,Receiver_Stationary,Acoustic,Stationary,Fisheries Management,Hatchery,Single,2,Saltwater,Not Reported,23.1,Not Reported,29.1,Not Reported,48,Not Reported,Not Reported,Not Reported,Small,Not Reported,Medium Term
Kawabata_2009,Teleostei,2,AC + Stationary,Acoustic_Stationary,Receiver_Stationary,Acoustic,Stationary,Fisheries Management,Hatchery,Single,2,Saltwater,Not Reported,23.1,Not Reported,29.1,Not Reported,50,Not Reported,Not Reported,Not Reported,Small,Not Reported,Medium Term
Gebruk_2020,Phocidae,6,SA + Mobile,Satellite_Mobile,NoReceiver_Mobile,Satellite,Mobile,Behavioural Ecology,Population structuring,Single,2,Saltwater,9,Not Reported,66,Not Reported,85.5,0.16,9.5,Not Reported,>40m,Not Reported,Medium Term,Short term
Gebruk_2020,Phocidae,6,SA + Mobile,Satellite_Mobile,NoReceiver_Mobile,Satellite,Mobile,Methodological,Integrated approach,Single,2,Saltwater,9,Not Reported,66,Not Reported,85.5,0.16,9.5,Not Reported,>40m,Not Reported,Medium Term,Short term
Gebruk_2020,Phocidae,6,SA + Mobile,Satellite_Mobile,NoReceiver_Mobile,Satellite,Mobile,Behavioural Ecology,Predator_prey interactions,Single,2,Saltwater,9,Not Reported,66,Not Reported,85.5,0.16,9.5,Not Reported,>40m,Not Reported,Medium Term,Short term
Gebruk_2020,Phocidae,6,SA + Mobile,Satellite_Mobile,NoReceiver_Mobile,Satellite,Mobile,Behavioural Ecology,Habitat and space use,Single,2,Saltwater,9,Not Reported,66,Not Reported,85.5,0.16,9.5,Not Reported,>40m,Not Reported,Medium Term,Short term
Gilly_2012,Cephalopoda,4,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Conservation Measures,Hypoxic Zones,Single,2,Saltwater,Not Reported,70,Not Reported,Not Reported,8,Not Reported,0.8,Not Reported,Not Reported,Medium,Medium Term,Not Reported
Gilly_2012,Cephalopoda,4,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Other Drivers of Movement and Behavior,Environmental factors,Single,2,Saltwater,Not Reported,70,Not Reported,Not Reported,8,Not Reported,0.8,Not Reported,Not Reported,Medium,Medium Term,Not Reported
Gilly_2012,Cephalopoda,4,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Other Drivers of Movement and Behavior,Seasonal Differences,Single,2,Saltwater,Not Reported,70,Not Reported,Not Reported,8,Not Reported,0.8,Not Reported,Not Reported,Medium,Medium Term,Not Reported
Gilly_2012,Cephalopoda,4,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Behavioural Ecology,Habitat and space use,Single,2,Saltwater,Not Reported,70,Not Reported,Not Reported,8,Not Reported,0.8,Not Reported,Not Reported,Medium,Medium Term,Not Reported
Gilly_2012,Cephalopoda,4,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Behavioural Ecology,Behavioural states and adaptations,Single,2,Saltwater,Not Reported,70,Not Reported,Not Reported,8,Not Reported,0.8,Not Reported,Not Reported,Medium,Medium Term,Not Reported
Gomi_2021,Teleostei,3,AC + Stationary,Acoustic_Stationary,Receiver_Stationary,Acoustic,Stationary,Other Drivers of Movement and Behavior,Diel differences,Single,2,Saltwater,5,47,20,70,44,Not Reported,13,Not Reported,3m to 40m,Medium,Medium Term,Not Reported
Gomi_2021,Teleostei,3,AC + Stationary,Acoustic_Stationary,Receiver_Stationary,Acoustic,Stationary,Methodological,Integrated approach,Single,2,Saltwater,5,47,20,70,44,Not Reported,13,Not Reported,3m to 40m,Medium,Medium Term,Not Reported
Gomi_2021,Teleostei,3,AC + Stationary,Acoustic_Stationary,Receiver_Stationary,Acoustic,Stationary,Behavioural Ecology,Behavioural states and adaptations,Single,2,Saltwater,5,47,20,70,44,Not Reported,13,Not Reported,3m to 40m,Medium,Medium Term,Not Reported
Grainger_2022,Chondrichthyes,2,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Methodological,Integrated approach,Single,2,Saltwater,40,184,60,283,5,15.3,0.4,5,>40m,Large,Short Term,Medium Term
Grainger_2022,Chondrichthyes,2,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Conservation Measures,Human_wildlife interactions,Single,2,Saltwater,40,184,60,283,5,15.3,0.4,5,>40m,Large,Short Term,Medium Term
Grainger_2022,Chondrichthyes,2,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Behavioural Ecology,Behavioural states and adaptations,Single,2,Saltwater,40,184,60,283,5,15.3,0.4,5,>40m,Large,Short Term,Medium Term
Gunner_2021,Reptilia,1,DD + PIT + AB,DataLogger_PIT_Animalborne,Both_Animalborne,Data Logger_PIT,Animal-borne,Behavioural Ecology,Energetics,Multiple,3,Saltwater,3.04,Not Reported,7.41,Not Reported,17,Not Reported,13,Not Reported,3m to 40m,Not Reported,Medium Term,Not Reported
Gunner_2021,Reptilia,1,DD + PIT + AB,DataLogger_PIT_Animalborne,Both_Animalborne,Data Logger_PIT,Animal-borne,Methodological,Feasibility,Multiple,3,Saltwater,3.04,Not Reported,7.41,Not Reported,17,Not Reported,13,Not Reported,3m to 40m,Not Reported,Medium Term,Not Reported
Gunner_2021,Reptilia,1,DD + PIT + AB,DataLogger_PIT_Animalborne,Both_Animalborne,Data Logger_PIT,Animal-borne,Reproductive Ecology,"Spawning, breeding, nesting behaviour",Multiple,3,Saltwater,3.04,Not Reported,7.41,Not Reported,17,Not Reported,13,Not Reported,3m to 40m,Not Reported,Medium Term,Not Reported
Heithaus_2001,Chondrichthyes,1,AC + DD + AB,Acoustic_DataLogger_Animalborne,Both_Animalborne,Acoustic_Data Logger,Animal-borne,Behavioural Ecology,Behavioural states and adaptations,Multiple,3,Saltwater,0,200,4,405,Not Reported,6,Not Reported,2.5,3m to 40m,Large,Medium Term,Medium Term
Heithaus_2002,Chondrichthyes,1,AC + DD + AB,Acoustic_DataLogger_Animalborne,Both_Animalborne,Acoustic_Data Logger,Animal-borne,Behavioural Ecology,Behavioural states and adaptations,Multiple,3,Saltwater,0,324,6,398,Not Reported,11,Not Reported,2.5,3m to 40m,Large,Medium Term,Medium Term
Heithaus_2001,Chondrichthyes,1,AC + DD + AB,Acoustic_DataLogger_Animalborne,Both_Animalborne,Acoustic_Data Logger,Animal-borne,Behavioural Ecology,Habitat and space use,Multiple,3,Saltwater,0,200,4,405,Not Reported,6,Not Reported,2.5,3m to 40m,Large,Medium Term,Medium Term
Heithaus_2002,Chondrichthyes,1,AC + DD + AB,Acoustic_DataLogger_Animalborne,Both_Animalborne,Acoustic_Data Logger,Animal-borne,Behavioural Ecology,Habitat and space use,Multiple,3,Saltwater,0,324,6,398,Not Reported,11,Not Reported,2.5,3m to 40m,Large,Medium Term,Medium Term
Heithaus_2001,Chondrichthyes,1,AC + DD + AB,Acoustic_DataLogger_Animalborne,Both_Animalborne,Acoustic_Data Logger,Animal-borne,Methodological,Tag and video accuracy and precision,Multiple,3,Saltwater,0,200,4,405,Not Reported,6,Not Reported,2.5,3m to 40m,Large,Medium Term,Medium Term
Heithaus_2002,Chondrichthyes,1,AC + DD + AB,Acoustic_DataLogger_Animalborne,Both_Animalborne,Acoustic_Data Logger,Animal-borne,Methodological,Tag and video accuracy and precision,Multiple,3,Saltwater,0,324,6,398,Not Reported,11,Not Reported,2.5,3m to 40m,Large,Medium Term,Medium Term
Holsman_2006,Decapoda,3,AC + Stationary,Acoustic_Stationary,Receiver_Stationary,Acoustic,Stationary,Behavioural Ecology,Habitat and space use,Single,2,Saltwater,Not Reported,4,Not Reported,13,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Small,Not Reported,Not Reported
Holsman_2006,Decapoda,3,AC + Stationary,Acoustic_Stationary,Receiver_Stationary,Acoustic,Stationary,Behavioural Ecology,Population structuring,Single,2,Saltwater,Not Reported,4,Not Reported,13,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Small,Not Reported,Not Reported
Hooker_2015,Phocidae,3,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Behavioural Ecology,Sociality,Single,2,Saltwater,0,Not Reported,55,Not Reported,7,369,5,18,>40m,Not Reported,Medium Term,Long Term
Hooker_2015,Phocidae,3,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Methodological,Feasibility,Single,2,Saltwater,0,Not Reported,55,Not Reported,7,369,5,18,>40m,Not Reported,Medium Term,Long Term
Hooker_2015,Phocidae,3,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Behavioural Ecology,Behavioural states and adaptations,Single,2,Saltwater,0,Not Reported,55,Not Reported,7,369,5,18,>40m,Not Reported,Medium Term,Long Term
Iwata_2021,Cetacea,1,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Methodological,Attributing behaviours to movement,Single,2,Saltwater,5,Not Reported,19,Not Reported,0.45,11,Not Reported,1,3m to 40m,Not Reported,Short Term,Medium Term
Iwata_2021,Cetacea,1,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Behavioural Ecology,Behavioural states and adaptations,Single,2,Saltwater,5,Not Reported,19,Not Reported,0.45,11,Not Reported,1,3m to 40m,Not Reported,Short Term,Medium Term
Jeantet_2020,Reptilia,2,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Methodological,Attributing behaviours to movement,Single,2,Saltwater,0,44,3,101.3,Not Reported,14.6,Not Reported,Not Reported,Surface to 3m,Medium,Not Reported,Medium Term
Jeantet_2020,Reptilia,2,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Methodological,Integrated approach,Single,2,Saltwater,0,44,3,101.3,Not Reported,14.6,Not Reported,Not Reported,Surface to 3m,Medium,Not Reported,Medium Term
Jeantet_2020,Reptilia,2,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Behavioural Ecology,Behavioural states and adaptations,Single,2,Saltwater,0,44,3,101.3,Not Reported,14.6,Not Reported,Not Reported,Surface to 3m,Medium,Not Reported,Medium Term
Jewell_2019,Chondrichthyes,1,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Other Drivers of Movement and Behavior,Environmental factors,Single,2,Saltwater,0,275,8,365,Not Reported,8,Not Reported,Not Reported,3m to 40m,Large,Not Reported,Medium Term
