Manuscript,Taxa,Total_Field_Seasons,Device_Pairing_Abbreviation,Intermediate_Device_Pairing,Broad_Device_Pairings,Tracking_Group,Monitor_Group,Discipline,Sub_discipline,Single_or_Multiple_Pairing,Total_Devices,Water_Type,Min_C_Depth_m,Min_length_Tag_cm,Max_C_Depth_m,Max_length_Tag_cm,Max_Days_Tracked,Max_Hours_Recorded,Min_Days_Tracked,Min_Hours_Recorded,Depth_groups,Length_Groups,Tracking_Days,Recording_Hours
Jewell_2019,Chondrichthyes,1,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Behavioural Ecology,Predator_prey interactions,Single,2,Saltwater,0,275,8,365,Not Reported,8,Not Reported,Not Reported,3m to 40m,Large,Not Reported,Medium Term
Johnston_2018,Chondrichthyes,1,DD + AB + Mobile,DataLogger_Animalborne_Mobile,NoReceiver_Animalborne_Mobile,Data Logger,Animal-borne_Mobile,Behavioural Ecology,Predator_prey interactions,Single,2,Saltwater,0,800,0,800,Not Reported,90,Not Reported,Not Reported,Surface to 3m,Large,Not Reported,Long Term
Johnston_2018,Chondrichthyes,1,DD + AB + Mobile,DataLogger_Animalborne_Mobile,NoReceiver_Animalborne_Mobile,Data Logger,Animal-borne_Mobile,Behavioural Ecology,Energetics,Single,2,Saltwater,0,800,0,800,Not Reported,90,Not Reported,Not Reported,Surface to 3m,Large,Not Reported,Long Term
Johnston_2018,Chondrichthyes,1,DD + AB + Mobile,DataLogger_Animalborne_Mobile,NoReceiver_Animalborne_Mobile,Data Logger,Animal-borne_Mobile,Behavioural Ecology,Behavioural states and adaptations,Single,2,Saltwater,0,800,0,800,Not Reported,90,Not Reported,Not Reported,Surface to 3m,Large,Not Reported,Long Term
Jury_2018,Decapoda,3,AC + DD + Stationary,Acoustic_DataLogger_Stationary,Both_Stationary,Acoustic_Data Logger,Stationary,Behavioural Ecology,Habitat and space use,Multiple,3,Saltwater,Not Reported,8.2,Not Reported,10.5,0.83,24,Not Reported,Not Reported,Not Reported,Small,Short Term,Medium Term
Jury_2018,Decapoda,3,AC + DD + Stationary,Acoustic_DataLogger_Stationary,Both_Stationary,Acoustic_Data Logger,Stationary,Methodological,Paired lab approach,Multiple,3,Saltwater,Not Reported,8.2,Not Reported,10.5,0.83,24,Not Reported,Not Reported,Not Reported,Small,Short Term,Medium Term
Jury_2018,Decapoda,3,AC + DD + Stationary,Acoustic_DataLogger_Stationary,Both_Stationary,Acoustic_Data Logger,Stationary,Methodological,Feasibility,Multiple,3,Saltwater,Not Reported,8.2,Not Reported,10.5,0.83,24,Not Reported,Not Reported,Not Reported,Small,Short Term,Medium Term
Yokota_2007,Teleostei,2,AC + Stationary,Acoustic_Stationary,Receiver_Stationary,Acoustic,Stationary,Fisheries Management,Hatchery,Single,2,Saltwater,0,20.8,0,30.8,104,Not Reported,Not Reported,48,Surface to 3m,Small,Medium Term,Not Reported
Yokota_2011,Teleostei,2,AC + Stationary,Acoustic_Stationary,Receiver_Stationary,Acoustic,Stationary,Fisheries Management,Hatchery,Single,2,Saltwater,0,7.4,0,84.8,215,48,0,Not Reported,Surface to 3m,Small,Long Term,Medium Term
Bohaboy_2020,Teleostei,2,AC + Mobile,Acoustic_Mobile,Receiver_Mobile,Acoustic,Mobile,Fisheries Management,Mortality Reduction,Single,2,Saltwater,41,28,59,35,Not Reported,Not Reported,Not Reported,Not Reported,>40m,Medium,Not Reported,Not Reported
Kawabata_2009,Teleostei,2,AC + Stationary,Acoustic_Stationary,Receiver_Stationary,Acoustic,Stationary,Methodological,Paired lab approach,Single,2,Saltwater,Not Reported,23.1,Not Reported,29.1,Not Reported,49,Not Reported,Not Reported,Not Reported,Small,Not Reported,Medium Term
Kawabata_2009,Teleostei,2,AC + Stationary,Acoustic_Stationary,Receiver_Stationary,Acoustic,Stationary,Methodological,Paired lab approach,Single,2,Saltwater,Not Reported,23.1,Not Reported,29.1,Not Reported,48,Not Reported,Not Reported,Not Reported,Small,Not Reported,Medium Term
Kawabata_2009,Teleostei,2,AC + Stationary,Acoustic_Stationary,Receiver_Stationary,Acoustic,Stationary,Methodological,Paired lab approach,Single,2,Saltwater,Not Reported,23.1,Not Reported,29.1,Not Reported,50,Not Reported,Not Reported,Not Reported,Small,Not Reported,Medium Term
